baslik,konum,fiyat,ilan_tarihi,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,cekis,arac_durumu,ortalama_yakit_tuketimi,yakit_deposu,boya_degisen,takasa_uygun,kimden,tramer
"Değişensiz, Sorunsuz, Temiz C4 Picasso","Kocatepe Mh. Merkez, Afyonkarahisar",585.000 TL,29 Temmuz 2025,Citroen,C4 Picasso,1.6 HDi SX PK,2008,207.000 km,Yarı Otomatik,Dizel,MPV,Siyah,1560 cc,111 hp,Önden Çekiş,İkinci El,"5,7 lt",60 lt,1 boyalı,Takasa Uygun,Sahibinden,
Sahibinden Fiat Punto Grande 1.3 Multijet Dynamic 2006 Model,"Sahipata Mh. Merkez, Afyonkarahisar",350.000 TL,06 Temmuz 2025,Fiat,Punto,Grande 1.3 Multijet Dynamic,2006,292.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1248 cc,75 hp,Önden Çekiş,İkinci El,,45 lt,11 boyalı,,Sahibinden,
Sahibinden Opel Astra 1.6 Classic 2001 Model,"Sarıgül Mh. Doğubayazıt, Ağrı",265.000 TL,02 Temmuz 2025,Opel,Astra,1.6 Classic,2001,165.000 km,Düz,Benzin,Hatchback/5,Beyaz,1598 cc,75 hp,Önden Çekiş,İkinci El,"7,2 lt",52 lt,7 boyalı,Takasa Uygun Değil,Sahibinden,
Sahibinden Renault R 9 1.4 Broadway 1992 Model,"Şeyhcui Mh. Merkez, Amasya",195.000 TL,28 Temmuz 2025,Renault,R 9,1.4 Broadway,1992,200.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1390 cc,83 hp,Önden Çekiş,İkinci El,,47 lt,Belirtilmemiş,,Sahibinden,
BAŞARAN'DAN HATASIZ 2013 MERCEDES CLA 200 AMG 700.000 KREDİLİ,"Saracalar Mh. Akyurt, Ankara",1.500.000 TL,16 Ağustos 2025,Mercedes - Benz,CLA,200 AMG,2013,204.000 km,Otomatik,Benzin,Coupe,Beyaz,1401 - 1600 cm3,151 - 175 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
Sahibinden Renault Fluence 1.5 dCi Business 2012 Model,"Aşağı Eğlence Mh. Keçiören, Ankara",555.000 TL,21 Ağustos 2025,Renault,Fluence,1.5 dCi Business,2012,264.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1461 cc,90 hp,Önden Çekiş,İkinci El,"4,4 lt",60 lt,Belirtilmemiş,,Sahibinden,1200.0
2023 RENAULT MEGANE 1.3TCE OTOMATİK-HATASIZ-BOYASIZ-TRAMERSİZ-,"Birlik Mh. Çankaya, Ankara",1.470.000 TL,21 Ağustos 2025,Renault,Megane,1.3 TCe Touch,2023,33.000 km,Otomatik,Benzin,Sedan,Kırmızı,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,
ÇAĞDAŞLAR'DAN__87.000 KM'DE__POLO 1.2 TSİ COMFORTLINE__OTOMATİK,"Balıkhisar Mh. Akyurt, Ankara",910.000 TL,20 Ağustos 2025,Volkswagen,Polo,1.2 TSi Comfortline,2017,87.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,"4 değişen, 3 boyalı",Takasa Uygun,Galeriden,
Bütün bakımları yeni klimalı Opel Corsa 1.3 CDTI Essentia,"Etiler Mh. Muratpaşa, Antalya",245.000 TL,21 Ağustos 2025,Opel,Corsa,1.3 CDTI Essentia,2004,360.000 km,Düz,Dizel,Hatchback/5,Lacivert,1248 cc,70 hp,Önden Çekiş,İkinci El,"4,5 lt",44 lt,"1 değişen, 8 boyalı",,Sahibinden,
Burak'tan |K.Kartna12taksit%2.1| Corolla 1.8Hybird%20Fatura 2022,"Altınova Sinan Mh. Kepez, Antalya",1.285.750 TL,20 Ağustos 2025,Toyota,Corolla,1.8 Hybrid Dream,2022,148.000 km,Otomatik,Hibrit,Sedan,Beyaz,1601 - 1800 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,1 değişen,Takasa Uygun,Galeriden,
BEKA'dan 2008 Astra Sedan 1.3 CDTI Enjoy Değişensiz,"Meydankavağı Mh. Muratpaşa, Antalya",380.000 TL,19 Ağustos 2025,Opel,Astra,1.3 CDTI Enjoy,2008,350.000 km,Düz,Dizel,Sedan,Gri,1248 cc,90 hp,Önden Çekiş,İkinci El,"5,1 lt",52 lt,5 boyalı,Takasa Uygun Değil,Galeriden,
ERDEM'den 2020 Audi A4 Allroad Quattro 40 TDI Gri - Taba,"Meydankavağı Mh. Muratpaşa, Antalya",2.757.000 TL,18 Ağustos 2025,Audi,A4,A4 Allroad Quattro 4.0 TDI,2020,116.000 km,Otomatik,Dizel,Station wagon,Gri,1801 - 2000 cm3,201 - 225 HP,4WD (Sürekli),İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
Sahibinden Renault R 9 1.4 Broadway 1994 Model,"Merkez Mh. Yusufeli, Artvin",170.000 TL,08 Ağustos 2025,Renault,R 9,1.4 Broadway,1994,219.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1390 cc,83 hp,Önden Çekiş,İkinci El,,47 lt,Belirtilmemiş,,Sahibinden,
Sahibinden Ford Focus 1.6 Comfort 2004 Model,"Çeltikçi Mh. Söke, Aydın",445.000 TL,19 Ağustos 2025,Ford,Focus,1.6 Comfort,2004,178.000 km,Düz,Benzin,Sedan,Beyaz,1596 cc,100 hp,Önden Çekiş,İkinci El,"6,8 lt",55 lt,6 boyalı,Takasa Uygun,Sahibinden,
2022/VOLKSWAGEN/POLO/1.0TSİ/LİFE/HATASIZ,"Ata OSB Efeler, Aydın",1.379.000 TL,16 Ağustos 2025,Volkswagen,Polo,1.0 TSi Life,2022,7.500 km,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
VOLKAN OTO GALERİDEN 2013 MODEL OPEL CORSA  DEĞİŞENSİZ,"Yeni Cami Mh. Söke, Aydın",525.000 TL,12 Ağustos 2025,Opel,Corsa,1.3 CDTI Essentia,2013,246.000 km,Düz,Dizel,Hatchback/3,Beyaz,1248 cc,75 hp,Önden Çekiş,İkinci El,"4,2 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,2.0
Karabulut otomativden 520D makina,"Cumhuriyet Mh. Çine, Aydın",930.000 TL,07 Ağustos 2025,BMW,5 Serisi,520d Premium,2008,280.000 km,Otomatik,Dizel,Sedan,Siyah,1995 cc,177 hp,Arkadan İtiş,İkinci El,"6,1 lt",70 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,7.0
FULL DONANIMLI SAHİBİNDEN FORD FOCUS,"100. Yıl Mh. Bandırma, Balıkesir",929.000 TL,19 Ağustos 2025,Ford,Focus,1.6 TDCi Trend X,2015,143.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,95 hp,Önden Çekiş,İkinci El,"4,5 lt",53 lt,2 değişen,Takasa Uygun Değil,Sahibinden,
VEFAdan HATASIZ BOYASIZ 2019 VW POLO 1.6 TDİ COMFORTLİNE DSG,"Kuva-İ Milliye Mh. Karesi, Balıkesir",1.180.000 TL,15 Ağustos 2025,Volkswagen,Polo,1.6 TDi Comfortline,2019,100.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
Galeriden Ford Mondeo 2.0 GLX 1997 Model Balıkesir,"Cumhuriyet Mh. Burhaniye, Balıkesir",190.000 TL,10 Ağustos 2025,Ford,Mondeo,2.0 GLX,1997,300.000 km,Düz,LPG & Benzin,Hatchback/5,Mavi (metalik),1988 cc,130 hp,Önden Çekiş,İkinci El,"8,3 lt",61 lt,Tamamı orjinal,Takasa Uygun,Galeriden,
Öğretmenden tertemiz lacetti ACİL SATILIK,"Kayabey Mh. Karesi, Balıkesir",320.000 TL,01 Ağustos 2025,Chevrolet,Lacetti,1.4 SE,2004,228.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1399 cc,95 hp,Önden Çekiş,İkinci El,"7,2 lt",60 lt,3 boyalı,,Sahibinden,
"Honda Civic 1.5 i-VTEC Executive Plus 2021 Model 182 Hp,Servis bakımlı Garantisi devam ediyor,89 bin km'de","İnönü Mh. Osmaneli, Bilecik",1.755.000 TL,25 Temmuz 2025,Honda,Civic,1.5 i-VTEC Executive Plus,2021,89.000 km,Otomatik,Benzin,Sedan,Beyaz,1498 cc,182 hp,Önden Çekiş,İkinci El,"6,7 lt",47 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,
Sahibinden Peugeot 301 1.6 HDi Active 2017 Model,"Kültür Mh. Merkez, Bingöl",665.000 TL,28 Temmuz 2025,Peugeot,301,1.6 HDi Active,2017,175.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,İkinci El,"4,3 lt",50 lt,"1 değişen, 2 boyalı",,Sahibinden,
Sahibinden Lada Vega 1.6 2001 Model,"Barajyolu Mh. Güroymak, Bitlis",145.000 TL,24 Temmuz 2025,Lada,Vega,1.6,2001,258.000 km,Düz,LPG & Benzin,Sedan,Bej,1596 cc,90 hp,Önden Çekiş,İkinci El,"6,8 lt",43 lt,Tamamı boyalı,,Sahibinden,
Sahibinden Fiat Marea 1.6 Liberty 2004 Model,"Umutkent Mh. Merkez, Bolu",375.000 TL,14 Ağustos 2025,Fiat,Marea,1.6 Liberty,2004,178.000 km,Düz,LPG & Benzin,Sedan,Gri,1596 cc,103 hp,Önden Çekiş,İkinci El,"8,1 lt",63 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,
Sahibinden Honda Civic 1.6 i-VTEC Premium 2012 Model,"Pazarköy Köyü (Kültür Mh.) Mengen, Bolu",750.000 TL,28 Temmuz 2025,Honda,Civic,1.6 i-VTEC Premium,2012,200.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1595 cc,125 hp,Önden Çekiş,İkinci El,"6,7 lt",50 lt,Belirtilmemiş,,Sahibinden,
HATASIZ KUSURSUZ EMSALSİZ TEMİZLİKTE KOLDAN SİS BEYAZ Otm. ES,"Camii Mh. Bucak, Burdur",670.000 TL,21 Ağustos 2025,Honda,Civic,1.6 i-VTEC ES,2006,298.000 km,Otomatik,Benzin,Sedan,Beyaz,1590 cc,110 hp,Önden Çekiş,İkinci El,7 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,
Sahibinden Tofaş Şahin 1.6 1992 Model,"Sakarya Mh. Merkez, Burdur",115.000 TL,30 Temmuz 2025,Tofaş,Şahin,1.6,1992,285.000 km,Düz,LPG & Benzin,Sedan,Siyah,1581 cc,,Arkadan İtiş,İkinci El,,52 lt,Belirtilmemiş,,Sahibinden,
MEGANE 2 - CAM TAVAN - K.KARTI 12 TAKSİT,"Soğanlı Mh. Osmangazi, Bursa",289.000 TL,21 Ağustos 2025,Renault,Megane,1.5 dCi Dynamique,2006,364.000 km,Düz,Dizel,Sedan,Gri,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,"1 değişen, 11 boyalı",Takasa Uygun,Galeriden,
Sahibinden Seat Leon 1.5 EcoTSI FR 2020 Model,"Demirtaş Barbaros Mh. Osmangazi, Bursa",1.570.000 TL,20 Ağustos 2025,Seat,Leon,1.5 EcoTSI FR,2020,97.000 km,Düz,Benzin,Hatchback/5,Kırmızı,1498 cc,130 hp,Önden Çekiş,İkinci El,"5,2 lt",45 lt,Tamamı orjinal,,Sahibinden,
VW Polo 1.6 Comfortline Classic 2001 Model DÜRBÜN GÖĞÜS,"Yeşilova Mh. Osmangazi, Bursa",270.000 TL,19 Ağustos 2025,Volkswagen,Polo,1.6 Comfortline Classic,2001,258.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1595 cc,100 hp,Önden Çekiş,İkinci El,"7,9 lt",45 lt,Tamamı boyalı,Takasa Uygun,Galeriden,
Sahibinden Renault Laguna 2.0 Privilege 2003 Model,"152 Evler Mh. Yıldırım, Bursa",275.000 TL,18 Ağustos 2025,Renault,Laguna,2.0 Privilege,2003,309.000 km,Otomatik,LPG & Benzin,Hatchback/5,Mavi,1998 cc,140 hp,Önden Çekiş,İkinci El,"8,4 lt",70 lt,"1 değişen, 8 boyalı",,Sahibinden,
Galeriden Tofaş Şahin S 1996 Model Çanakkale,"Kurtuluş Mh. Yenice, Çanakkale",155.000 TL,17 Ağustos 2025,Tofaş,Şahin,S,1996,250.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,80 hp,Arkadan İtiş,İkinci El,,52 lt,"3 değişen, 8 boyalı",Takasa Uygun,Galeriden,
Sahibinden Renault R 11 GTS 1989 Model  279.000 km Beyaz,"Kepez Beldesi (Cumhuriyet Mh.) Merkez, Çanakkale",160.000 TL,31 Temmuz 2025,Renault,R 11,GTS,1989,279.000 km,Düz,Benzin,Hatchback/5,Beyaz,1397 cc,67 hp,Önden Çekiş,İkinci El,,47 lt,7 boyalı,,Sahibinden,
Sahibinden Renault R 9 1.4 Spring 1992 Model,"Yaykın Köyü Çan, Çanakkale",130.000 TL,23 Haziran 2025,Renault,R 9,1.4 Spring,1992,250.000 km,Düz,Benzin,Sedan,Yeşil,1390 cc,72 hp,Önden Çekiş,İkinci El,,47 lt,Tamamı orjinal,,Sahibinden,
EMSALSİZ TEMİZLİKTE 95 BROADWAY,"Sunguroğlu Mh. Sungurlu, Çorum",190.000 TL,20 Ağustos 2025,Renault,R 9,1.4 Broadway,1995,195.000 km,Düz,Benzin,Sedan,Beyaz,1390 cc,83 hp,Önden Çekiş,İkinci El,,47 lt,"1 değişen, 9 boyalı",Takasa Uygun,Galeriden,
OTOMOBİL RUHSATLI CORSA 1.3 DİZEL,"Bahçelievler Mh. Merkez, Çorum",335.000 TL,06 Ağustos 2025,Opel,Corsa,1.3 CDTI Cosmo,2004,261.000 km,Düz,Dizel,Hatchback/3,Beyaz,1248 cc,70 hp,Önden Çekiş,İkinci El,"4,5 lt",44 lt,1 değişen,Takasa Uygun Değil,Galeriden,
Sahibinden Tofaş Doğan L 1991 Model Çorum,"Ulukavak Mh. Merkez, Çorum",145.000 TL,08 Temmuz 2025,Tofaş,Doğan,L,1991,89.000 km,Düz,LPG & Benzin,Sedan,Bordo,1581 cc,83 hp,Arkadan İtiş,İkinci El,"6,5 lt",50 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,
Sahibinden Peugeot 207 1.4 HDi Trendy 2007 Model,"İlbade Mh. Merkezefendi, Denizli",515.000 TL,20 Ağustos 2025,Peugeot,207,1.4 HDi Trendy,2007,256.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1398 cc,71 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,"1 değişen, 4 boyalı",,Sahibinden,
Sahibinden Klimalı Temiz 306 Sedan,"Değirmenönü Mh. Merkezefendi, Denizli",265.000 TL,16 Ağustos 2025,Peugeot,306,1.6 XR,2000,239.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1587 cc,90 hp,Önden Çekiş,İkinci El,"7,3 lt",60 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,0.0
MAXCAR'AUDİ A3 SEDAN ADVANCED 35TFSI YETKİLİ SERVİS BAKIMLI,"Merkez Pamukkale, Denizli",1.700.000 TL,13 Ağustos 2025,Audi,A3,A3 Sedan 35 TFSI Advanced,2021,178.000 km,Otomatik,Benzin,Sedan,Siyah,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,1 değişen,Takasa Uygun,Galeriden,
Sahibinden Toyota Corolla 1.3 XL 1995 Model,"Cumhuriyet Mh. Serinhisar, Denizli",220.000 TL,08 Ağustos 2025,Toyota,Corolla,1.3 XL,1995,435.000 km,Düz,LPG & Benzin,Sedan,Gri (metalik),1332 cc,88 hp,Önden Çekiş,İkinci El,,50 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,
Sahibinden Renault Megane 1.9 DTi RTE 2001 Model,"5 Nisan Mh. Bağlar, Diyarbakır",220.000 TL,19 Ağustos 2025,Renault,Megane,1.9 DTi RTE,2001,262.500 km,Düz,Dizel,Sedan,Gri (Gümüş),1870 cc,98 hp,Önden Çekiş,İkinci El,"5,3 lt",60 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,
Sahibinden Renault R 9 1.4 Broadway 1996 Model,"Küçükkadı Mh. Sur, Diyarbakır",1.111.111 TL,13 Ağustos 2025,Renault,R 9,1.4 Broadway,1996,344.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1390 cc,83 hp,Önden Çekiş,İkinci El,,47 lt,Tamamı orjinal,,Sahibinden,
Sahibinden Ford Focus 1.5 TDCi Trend X 2016 Model,"Üçkuyu Mh. Yenişehir, Diyarbakır",885.000 TL,06 Ağustos 2025,Ford,Focus,1.5 TDCi Trend X,2016,238.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1499 cc,120 hp,Önden Çekiş,İkinci El,"4,2 lt",55 lt,4 boyalı,,Sahibinden,
Galeriden Renault Megane 1.5 Blue DCI Joy 2020 Model Diyarbakır,"Bağcılar Mh. Bağlar, Diyarbakır",1.050.000 TL,24 Temmuz 2025,Renault,Megane,1.5 Blue DCI Joy,2020,175.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,115 hp,Önden Çekiş,İkinci El,"4,2 lt",49 lt,2 boyalı,Takasa Uygun,Galeriden,
GÜRKAN (S) OTOMOTİV 2017 MEGANE 1.6 JOY 135.000 KM HATASIZ,"İstasyon Mh. Merkez, Edirne",939.500 TL,15 Ağustos 2025,Renault,Megane,1.6 Joy,2017,135.000 km,Düz,Benzin,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
Sahibinden Volkswagen Jetta 1.6 TDi Highline 2015 Model  300.000 km Lacivert,"1. Murat Mh. Merkez, Edirne",850.000 TL,13 Temmuz 2025,Volkswagen,Jetta,1.6 TDi Highline,2015,310.000 km,Yarı Otomatik,Dizel,Sedan,Lacivert,1598 cc,105 hp,Önden Çekiş,İkinci El,"4,7 lt",55 lt,2 boyalı,,Sahibinden,
HATASIZ 2019 SEAT İBİZA 1.0 ECO TSİ DSG OTOMATİK 57.000 KM,"Sürsürü Mh. Merkez, Elazığ",1.160.000 TL,19 Ağustos 2025,Seat,Ibiza,1.0 EcoTSI Style,2019,57.778 km,Otomatik,Benzin,Hatchback/5,Gri,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
1996 Astra 1.6 ecotec motor degisensiz (kredi kartı çekilir),"Yeni Mh. Merkez, Elazığ",200.000 TL,10 Ağustos 2025,Opel,Astra,1.6 GLS,1996,330.000 km,Düz,Benzin,Sedan,Yeşil,1598 cc,100 hp,Önden Çekiş,İkinci El,,52 lt,6 boyalı,Takasa Uygun Değil,Galeriden,
Sahibinden Opel Corsa 1.2 Essentia 2012 Model,"Üniversite Mh. Merkez, Elazığ",495.000 TL,27 Temmuz 2025,Opel,Corsa,1.2 Essentia,2012,115.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1229 cc,85 hp,Önden Çekiş,İkinci El,"5,3 lt",45 lt,Belirtilmemiş,,Sahibinden,
Mercedes - Benz E 180 AMG 2019 Aralık çıkışlı,"Cumhuriyet Mh. Merkez, Elazığ",3.350.000 TL,08 Temmuz 2025,Mercedes - Benz,E,180 AMG,2018,53.000 km,Otomatik,Benzin,Sedan,Beyaz,1595 cc,156 hp,Arkadan İtiş,İkinci El,"6,5 lt",50 lt,Tamamı orjinal,,Sahibinden,
Sahibinden Hyundai Accent 1.3 LX 1999 Model,"İnönü Mh. Merkez, Erzincan",235.000 TL,30 Temmuz 2025,Hyundai,Accent,1.3 LX,1999,290.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1341 cc,86 hp,Önden Çekiş,İkinci El,"6,1 lt",45 lt,1 değişen,Takasa Uygun Değil,Sahibinden,
Sahibinden Opel Astra 1.6 CD 1999   PAZARLIKSIZ SON FİYAT,"Kurtuluş Mh. Yakutiye, Erzurum",315.000 TL,19 Ağustos 2025,Opel,Astra,1.6 CD,1999,310.000 km,Otomatik,LPG & Benzin,Sedan,Lacivert,1598 cc,100 hp,Önden Çekiş,İkinci El,"8,2 lt",52 lt,2 değişen,Takasa Uygun,Sahibinden,
Sahibinden Ford Focus 1.6 Comfort 2011 Model,"Adnan Menderes Mh. Palandöken, Erzurum",640.000 TL,08 Ağustos 2025,Ford,Focus,1.6 Comfort,2011,168.000 km,Otomatik,LPG & Benzin,Hatchback/5,Gri,1596 cc,100 hp,Önden Çekiş,İkinci El,"6,7 lt",55 lt,7 boyalı,Takasa Uygun Değil,Sahibinden,
Sahibinden Fiat Albea Sole 1.3 Multijet Dynamic 2009 Model,"Saltuklu Mh. Aziziye, Erzurum",365.000 TL,22 Temmuz 2025,Fiat,Albea,Sole 1.3 Multijet Dynamic,2009,210.000 km,Düz,Dizel,Sedan,Gri (metalik),1248 cc,70 hp,Önden Çekiş,İkinci El,"4,7 lt",48 lt,Tamamı orjinal,,Sahibinden,
Sahibinden Skoda Fabia 1.2 Classic 2008 Model,"Hüseyin Avni Ulaş Mh. Palandöken, Erzurum",500.000 TL,03 Temmuz 2025,Skoda,Fabia,1.2 Classic,2008,200.000 km,Düz,Benzin,Hatchback/5,Gri (Gümüş),1198 cc,70 hp,Önden Çekiş,İkinci El,,45 lt,Belirtilmemiş,,Sahibinden,
DEĞIŞENSIZ KREDİ KARTI GEÇERLİ,"Sultandere 75. Yıl Mh. Odunpazarı, Eskişehir",1.200.000 TL,20 Ağustos 2025,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2015,199.123 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,5 boyalı,Takasa Uygun,Galeriden,
Değişensiz Benzinli klimalı 98 Opel Corsa,"Orhangazi Mh. Odunpazarı, Eskişehir",250.000 TL,17 Ağustos 2025,Opel,Corsa,1.4 Swing,1998,245.000 km,Düz,Benzin,Hatchback/5,Yeşil,1389 cc,60 hp,Önden Çekiş,İkinci El,,42 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,
Sahibinden Renault Megane 1.2 TCe Touch 2016 Model,"Batıkent Mh. Tepebaşı, Eskişehir",900.000 TL,13 Ağustos 2025,Renault,Megane,1.2 TCe Touch,2016,90.000 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1198 cc,130 hp,Önden Çekiş,İkinci El,"5,4 lt",47 lt,3 değişen,Takasa Uygun,Sahibinden,
MFT MOTORS S320 4 KOLTUK ISITMA/HAFIZA/VAKUM,"Sultandere 75. Yıl Mh. Odunpazarı, Eskişehir",1.087.500 TL,07 Ağustos 2025,Mercedes - Benz,S,S 320 320,1994,246.150 km,Otomatik,Benzin,Sedan,Siyah,3001 - 3500 cm3,226 - 250 HP,Arkadan İtiş,İkinci El,,,"1 değişen, 9 boyalı",Takasa Uygun,Galeriden,
